id,logit_score
1,0.0125021885446
2,0.00862083837586
3,0.00243873846313
4,0.00495301713588
5,0.0232203399617
6,0.00815696034747
7,0.00912123158494
8,0.0184855136133
9,0.00621781104777
10,0.00590127122992
11,0.0129934514298
12,0.0102631274089
13,0.0287244999599
14,0.00482132900633
15,0.00624315715764
16,0.0220626906738
17,0.00851758788751
18,0.0029254103713
19,0.0122799461489
20,0.00423898310008
21,0.00625274887374
22,0.00830033152247
23,0.00423460550758
24,0.0142738891564
25,0.00708417588525
26,0.00858664341474
27,0.0193171080692
28,0.00276645373349
29,0.0119517656041
30,0.0123630880858
31,0.0104236238455
32,0.0111377584912
33,0.00574501560479
34,0.007532268751
35,0.0201262118361
36,0.0111682996102
37,0.0154480764578
38,0.867520439453
39,0.0551912112573
40,0.00983872902758
41,0.00784485389756
42,0.00682071053242
43,0.00342356833066
44,0.746653226946
45,0.0755246619302
46,0.0125887525819
47,0.0160727531747
48,0.00843238159873
49,0.0155170908225
50,0.0263333857132
51,0.00926884032805
52,0.0146413903642
53,0.00969743441771
54,0.123934099431
55,0.00565493552991
56,0.0107119879434
57,0.00891171325908
58,0.00350973419609
59,0.0092948134147
60,0.803339242966
61,0.00963003953941
62,0.109104720941
63,0.00492436001854
64,0.0170140104197
65,0.0141734442739
66,0.00693228553907
67,0.112169432746
68,0.0151989046218
69,0.0062262392168
70,0.00660799386719
71,0.00589379778171
72,0.00427292175079
73,0.00404143981825
74,0.0083274023383
75,0.00793581345499
76,0.00724412249231
77,0.00910393249649
78,0.0296224387789
79,0.00715812341662
80,0.00834364510362
81,0.011970199497
82,0.0176948157761
83,0.00514375974219
84,0.234301088415
85,0.00676560054226
86,0.0206102446199
87,0.769606752263
88,0.537298823059
89,0.00532412724993
90,0.0118289388069
91,0.0110001404129
92,0.00527827038887
93,0.042470031935
94,0.00773611878659
95,0.0123291000519
96,0.0161094061396
97,0.0190461656656
98,0.011065451113
99,0.00855793769737
100,0.00984168960237
101,0.00904111478173
102,0.00820477014269
103,0.00656028125335
104,0.00264012314875
105,0.0308677016427
106,0.00716057509348
107,0.00952808067846
108,0.00580296143123
109,0.0607570891485
110,0.119529811634
111,0.00923713927451
112,0.0151542223046
113,0.00353652655105
114,0.00894580963896
115,0.00941412053554
116,0.0081030303147
117,0.0356814683274
118,0.0259502337818
119,0.0199166926307
120,0.00825823324762
121,0.026191553382
122,0.00427582432986
123,0.00651673496184
124,0.00309890413457
125,0.0104020407073
126,0.0131323914616
127,0.00466548492402
128,0.00286327173174
129,0.00607870833151
